id,name,company_id
1,Mr.Children,1
2,桜井 和寿,1
3,田原 健一,1
4,中川 敬輔,1
5,鈴木 英哉,1
6,ONE OK ROCK,3
7,Taka,3
8,Toru,3
9,Ryota,3
10,Tomoya,3
11,西野カナ,5
12,Dan Lancaster,
13,Mike Duce,
14,Jamil Kazmi,
15,Derek Fuhrmann,
16,Liam O'Donnell,
17,Jason“Poo Bear”Boyd,
18,Jared Gutstadt,
19,CJ Baran,
20,Ben Romans,
21,David Pramik,
22,Michael Jade,
23,Pete Nappi,
24,Janee“Jin Jin”Bennett,
25,Joshua Lewis Golden,
26,Ethan Thompson,
27,Kyle Moorman,
28,Nick Long,
29,Colin Brittain,
30,Dan Book,
31,Brian Howes,
32,Mark Crew,
33,Charlie Snyder,
34,FAST LANE,
35,GIORGIO 13 CANCEMI,
36,MATS LIE SKARE,
37,Marimo Wamoto,
38,Kazuhiko.M,
39,WISE,
40,小倉しんこう,
41,佐伯ユウスケ,
42,KASUMI,
43,想天坊,
44,MINMI,
45,Jeff Miyahara,
46,Kenji“JINO”Hino,
47,Masa Kohama,
48,DJ Mass,
49,GRP,
50,etsuco,
51,持山 翔子,
52,中村 亮,
53,Yoo Nakamura,
